sheet_title,sheet_key,updated,downloaded
SERF_SD Weather,1mimdHYLCmBLQV0QIPyCUFuZ9ZmN7pz8Sw6wfh1ONKJI,2019-07-05T18:19:58Z,2019-07-05T18:20:33Z
DEFI_R Weather,1IHK6c0_rI1X1gBqYImpppJxGUpBfbG8flI4DVaZttkU,2019-07-05T20:28:52Z,2019-07-05T20:29:28Z
MAASS Weather,1MntYz7XqfXmr9N4an5ZJe0REFKWE2hIABbmVCMklvQ4,2019-07-05T20:51:07Z,2019-07-05T20:52:26Z
STJOHNS Water Table Depth,1bxyvvA0DCWeZC_OIAdX7oJLp5g2sqUcb6fs6HkSe75A,2019-08-29T18:59:19Z,2019-08-29T19:09:20Z
DEFI_R Water Table Depth 2003-2007 from leveloggers,1LjnDvJy93kk94F8oTrH-7MmFhR-nuDwLB02oryu7teE,2019-08-29T19:12:21Z,2019-08-29T19:13:01Z
DEFI_R Water Table Depth 2000-2007 manual readings,1GLxwd9exilRFk-gkD2JEx-PD2XyYRNBG7NlKXhQzh0c,2019-08-29T19:12:08Z,2019-08-29T19:13:10Z
STJOHNS Water Table Depth,1bxyvvA0DCWeZC_OIAdX7oJLp5g2sqUcb6fs6HkSe75A,2019-08-29T18:59:19Z,2019-08-29T19:13:22Z
WILKIN1 Water Table Depth,1tYHvz07nhPDb9K1h9zoyp5cM3fg2juAPLTBkiiB6RXc,2019-08-29T18:54:14Z,2019-08-29T19:13:32Z
WILKIN3 Water Table Depth,1w_3_0tTpYDUu191zjnQogIxYAlrtpiGxdtTm9RN5cuI,2019-08-29T18:51:11Z,2019-08-29T19:13:41Z
ACRE Water Table Depth,1rhK5Hp70FH6vhuqkw7mbS4gTlxdh3g2wvXGmeH_leIU,2019-08-29T18:37:04Z,2019-08-29T19:13:52Z
BEAR Water Table Depth,1QNOjM8bZhBQrzdq-K-8xjt4o6x2xDubyqtmcmo-j0N0,2019-07-02T16:33:14Z,2019-08-29T19:14:09Z
BEAR2 Water Table Depth,1dBxgoYRIFarbruXYRivf16MMilNe_9MuQmJcvI0SMfY,2019-05-28T22:06:59Z,2019-08-29T19:14:20Z
MAASS Water Table Depth,1bp4-1mCpjMzzF_5XXudPORtz24kCahLFUpz4XrPOLXE,2019-05-09T22:54:51Z,2019-08-29T19:14:43Z
FAIRM Water Table Depth,1COnzhKXyxxSqFLcUhSW5Roc_5D237fpwI9xfT9DhGk4,2019-03-21T19:46:20Z,2019-08-29T19:15:00Z
DPAC Water Table Depth,1ozq5Xl6VBazcEDc88Oy3dIo36adYgPdVhhpCu1Hm01w,2019-03-07T19:18:42Z,2019-08-29T19:15:15Z
TIDE Water Table Depth,1gNnrd4dRQh0x1M_v4MUSEUv23CLC1VTSJ7zWbn7XxRQ,2019-02-27T21:10:47Z,2019-08-29T19:15:28Z
CLAY_R Water Table Depth,1FZjuDt6AtP0CZdaqqYKeWeRZNH592DMH5im623xZ-0w,2019-02-13T21:54:12Z,2019-08-29T19:15:43Z
CLAY_C Water Table Depth,10-2ndNGyage5DnTQkJTrQ625_PT8P_L-oi3s2rNH8NQ,2019-02-13T21:06:56Z,2019-08-29T19:15:58Z
CLAY_U Water Table Depth,1MMFPxPdf7Am07GtrdCsS14TyJm5C75n8jTF4t083VPE,2019-02-13T20:35:15Z,2019-08-29T19:16:12Z
SERF_SD Water Table Depth,1AszVdlvHQXRcYIg2cy2PUOnxZEXK5EXMcEFx4oZFCJ0,2018-04-03T19:44:46Z,2019-08-29T19:16:23Z
HICKS_P Water Table Depth,1d2wlQpujw1i91brykn7eszFILOwhvIUrVRZTVJ65q3w,2018-02-19T19:12:18Z,2019-08-29T19:16:34Z
HICKS_B Water Table Depth,1Hq3HaIL5Vl8aUNphSuofpB19xloPsqZojNPvffndyZQ,2018-02-16T17:52:55Z,2019-08-29T19:16:46Z
BATH_A Water Table Depth,1tKcGCtUUBMqfFL0_nF_opp0c6-qR-5NNKfEeA8u_NWc,2018-02-15T21:04:47Z,2019-08-29T19:16:56Z
